system:index,m_10,m_11,m_4,m_5,m_6,m_7,m_8,m_9,name,state,year,.geo
2_99_0,0.53274244,0.49012876,0.26301762,0.38976628,0.76936,0.48759377,0.844898,0.68951666,312_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.533098537959948,55.789241899543995]}"
2_100_0,0.710728,0.5009428,0.2780619,0.8085022,0.6330692,0.75027674,0.8913004,0.8561873,206_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.101732112807607,55.24953407684499]}"
2_101_0,0.228683,0.024839407,0.4552877,0.69000155,0.88273567,0.86889786,0.8840024,0.8396284,95_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.373737406557147,55.025134918871935]}"
2_102_0,0.3478418,0.54177004,0.16360669,0.27759635,0.78519094,0.7791513,0.49858284,0.7882221,371_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.597417912302905,55.75726187542934]}"
2_103_0,0.588843,0.3430423,0.3001533,0.77654535,0.8971137,0.8893956,0.8982676,0.8198014,361_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.295947877234248,55.906561875650006]}"
2_104_0,0.63265306,0.48622364,0.38373595,0.6980911,0.8768036,0.888036,0.83362305,0.7969853,362_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.299541138370724,55.90781951704778]}"
2_105_0,0.51208365,0.27274573,0.2835716,0.61018556,0.82366705,0.7585139,0.7184302,0.6294479,189_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.028609248680276,55.22186596609411]}"
2_106_0,0.49709028,0.07963561,0.331119,0.7664792,0.8635419,0.5663879,0.8027612,0.6365496,187_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.975608646917227,55.17479424520624]}"
2_107_0,0.2473573,0.5705187,0.2809816,0.4247246,0.8223079,0.7767198,0.8069555,0.77479905,3_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.48117591453784,55.13185477462533]}"
2_108_0,0.42530197,0.3260349,0.23546682,0.3984442,0.71969694,0.6811736,0.5135476,0.44803426,170_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.346069295806263,55.12628521986379]}"
2_109_0,0.6552736,0.21702439,0.32543722,0.7052537,0.87374485,0.843568,0.5248917,0.7136059,345_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.89745521719883,55.88051073241054]}"
2_110_0,0.5551856,0.5020145,0.25180104,0.41414142,0.72692,0.4387264,0.80766815,0.5720908,312_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.533098537959948,55.78888257343035]}"
2_111_0,0.62039167,0.17315418,0.30057943,0.6819696,0.8624082,0.8633011,0.7313007,0.7422277,345_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.897814543312474,55.880151406296896]}"
2_112_0,0.6873239,0.65592146,0.24220471,0.40032622,0.71623605,0.5569774,0.74859995,0.7657164,299_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.62436737082649,55.775228181111736]}"
2_113_0,0.57421875,0.3847128,0.4135737,0.6144096,0.73051244,0.67164177,0.6621081,0.6800351,198_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.042263640998893,55.224920238060115]}"
2_114_0,-100.0,0.280529,0.42490843,0.68264645,0.8914298,0.86515874,0.5993136,0.8464161,25_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.367269536511486,55.122871621784135]}"
2_115_0,0.030679934,0.27864853,0.3146358,0.49181095,0.30566922,0.71823084,0.8350654,0.8179577,267_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.823793363901025,55.257618914402066]}"
2_116_0,0.5976912,0.37623572,0.57825243,0.79308784,0.8949784,0.8334569,0.83898985,0.81630546,138_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.45404679295743,55.12071566510225]}"
2_117_0,0.14246656,0.1943958,0.41028333,0.6607471,0.8768314,0.8717613,0.70052344,0.8423639,25_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.363855938431833,55.12089532815907]}"
2_118_0,0.3617878,0.24074727,0.3534796,0.84027475,0.8707983,0.8303817,0.8605019,0.76928127,119_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.910390957290147,55.22725585779882]}"
2_119_0,0.6528736,0.6934132,0.32389936,0.27206773,0.60133576,0.614757,0.8007483,0.67178977,381_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.552861474210577,55.75151265761098]}"
2_120_0,0.4478716,0.13742259,0.24641761,0.7168357,0.86191815,0.7504497,0.80332875,0.71970624,243_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.959079645689425,55.20767258460502]}"
2_121_0,0.4512699,0.3048422,0.27883396,0.726341,0.88500726,0.87637204,0.8260139,0.7877802,130_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.84283764792436,55.23318473867401]}"
2_122_0,0.22750776,0.08412483,0.4916828,0.6849174,0.89273566,0.8480401,0.86504656,0.77885914,20_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.36295762314771,55.14047860135288]}"
